,id,text,time stamp
539,@EN_NERV,"Earthquake Flash Report An earthquake occurred at around pm. The following intensities were measured. Int. Ishikawa Noto Int. - Niigata Chuetsu Int. Niigata Joetsu, Niigata Kaetsu, Niigata Sado, Eastern Toyama, Western Toyama, Ishikawa Kaga, Fukui Reihoku...",01-01-2024
543,@mrjeffu,Breaking a very strong earthquake has just hit Ishikawa. Im on the other side of the country and still felt it. The long length of the shaking reminded me of .,01-01-2024
563,@NHKWORLD_News,"A massive magnitude-. earthquake has struck Ishikawa Prefecture, in central Japan, A tsunami warning is now in effect for the prefecture and other prefectures around the region, and officials are urging caution. Visit for updates",01-01-2024
564,@warabe_show,"! Today pm, There was an with a seismic intensity of in ISHIKAWA Prefecture. Tsunamis have hit many times, and houses have collapsed,buried alive,the road is collapsing! We may request help and support from people around the world. Sorry",01-01-2024
565,@harrysugiyama,"Major tsunami alert RIGHT NOW on the coast of Ishikawa. Tsunamis are lethal, they escalate. EVACUATE IMMEDIATELY. Get away from the coast NOW. for english info put on NHK which provides an English subchannel. press the button!",01-01-2024
569,@cloverblossoms_,Tsunami warnings are in place for all prefectures with coasts facing the Sea of Japan after a massive magnitude . earthquake has struck Ishikawa Prefecture.,01-01-2024
571,@spectatorindex,BREAKING New earthquake of over . magnitude in Ishikawa region of Japan,01-01-2024
572,@NHKWORLD_News,"A massive magnitude-. earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately.",01-01-2024
573,@NHKWORLD_News,"A massive magnitude-. earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast. People in those areas must evacuate immediately. An expert warns that strong tremors may continue. Visit for updates",01-01-2024
575,@NHKWORLD_News,"A massive magnitude-. earthquake has struck Ishikawa Prefecture, in central Japan, along the Japan Sea coast.",01-01-2024
576,@CNBCTV18Live,"BreakingNews Tsunami warning issued in Ishikawa Prefecture, Japan, after . magnitude quake hits Central Japan",01-01-2024
581,@AbroadInJapan,"A very nasty earthquake on Japans west coast today. If youre in the area of Ishikawa Prefecture in particular Kanazawa city, be aware theres a major tsunami warning of potentially - meters. Stay safe and get to high ground if youre along the west coastline between",01-01-2024
