text,date
pain tooo heartbreaking,2023-02-06 13:13:07+00:00
friends earthquake zone use cars amp block traffic healthy leave home amp go assembly areas turn electricity natural gas water leaving home use telephones use internet instead,2023-02-06 13:13:11+00:00
pry,2023-02-06 13:13:11+00:00
pray turkey love,2023-02-06 13:13:17+00:00
oh grief another earthquake turkey horrific really feel sorry wonderful people turkey,2023-02-06 13:13:18+00:00
turkey syria second large earthquake strikes death toll rises,2023-02-06 13:13:18+00:00
people turkey waiting support afada charity organization affiliated turkish government shared donation accounts citizens affected earthquakewe invite entire villa community donate earthquake victims,2023-02-06 13:13:18+00:00
live visuals turkey,2023-02-06 13:13:19+00:00
twitter world trends day antakya adyaman turkey,2023-02-06 13:13:26+00:00
dear world please stand people turkey difficult time please donate giveaways turkish people next days,2023-02-06 13:13:29+00:00
prayers going turkey syria,2023-02-06 13:13:33+00:00
pictures broke heart pieces ya allah,2023-02-06 13:13:35+00:00
ya allah reham earthquake destroyed another,2023-02-06 13:13:36+00:00
horrible stay strong,2023-02-06 13:13:49+00:00
massive digital support massive disaster many lives lost many families devastated earth monster sometimes,2023-02-06 13:13:50+00:00
please donate via,2023-02-06 13:13:54+00:00
thoughts condolences friends turkiye wishing speedy response recovery safety everyone affected,2023-02-06 13:13:59+00:00
minister saman barzanji declares state emergency two major,2023-02-06 13:14:00+00:00
chaos one support adiram god kabir ocean happiness protector living beings save us kinds havoc,2023-02-06 13:14:01+00:00
said prayers last night within path destruction woke heart fortunate live within earthquake prone area lord pics coming region shocking hope intl aid mobilized,2023-02-06 13:14:04+00:00
en dear iztech membersfor staff students want donate blood immediate delivery earthquake area shuttle removed faculty architecture,2023-02-06 13:14:05+00:00
another earthquake ya allah rehm,2023-02-06 13:14:06+00:00
live webinar titled payroll form w updates go live today enroll fast using discount code save get session,2023-02-06 13:14:07+00:00
heartbreaking turkey buildings continue collapse due aftershocks,2023-02-06 13:14:07+00:00
praying people turkey,2023-02-06 13:14:07+00:00
another earthquake magnitude strikes central turkey says usgsthis third earthquake two powerful earthquakes less hours ani,2023-02-06 13:14:08+00:00
turkey everyone trying help dogs also update killed amp injured allah please save us,2023-02-06 13:14:11+00:00
scence earthquake turkey,2023-02-06 13:14:15+00:00
pray turkey,2023-02-06 13:14:23+00:00
may allah protect brothers sistersprayers turkiye syria countries affected earthquake,2023-02-06 13:14:24+00:00
prayers turkey,2023-02-06 13:14:27+00:00
social medias local citizens report massive explosion southern turkey following earthquake,2023-02-06 13:14:27+00:00
tragedy wish eveyone find loved ones safe good health turkish syrian people gl olun,2023-02-06 13:14:27+00:00
watching videos knowing many people still missing let alone unknown syria,2023-02-06 13:14:30+00:00
heart wrenching neighbour friend country suffering nature caused disasters one another may allah protects us condolences families lost loved ones,2023-02-06 13:14:30+00:00
strikes km nw min ago info,2023-02-06 13:14:31+00:00
hearts go families victims lost lost families gaziantep earthquake may find peace comfort durin trying time,2023-02-06 13:14:34+00:00
granted lords urgent question private notice question lord foulkes cumnock ask govt assistance offering turkey following recent earthquakes live pm,2023-02-06 13:14:37+00:00
scenes heartbreaking human tragedy unbearable magnitudelets stand solidarity survivors families victims,2023-02-06 13:14:40+00:00
magnitude earthquake hits central,2023-02-06 13:14:40+00:00
deprem hatay,2023-02-06 13:14:44+00:00
live webinar titled payroll form w updates go live today enroll fast using discount code save get session,2023-02-06 13:14:47+00:00
earthquake terrible may allah bless us forgive us,2023-02-06 13:14:51+00:00
pray turkey,2023-02-06 13:14:53+00:00
strong,2023-02-06 13:14:54+00:00
