text,date,processed_text
230207 ❤️               Watch ▶️  ,2023-02-07 12:52:22+00:00, watch 
"We stand with our brother countries in this heartbreaking difficult time.May Allah grant patience to the families who lost their loved ones, Ameen         ",2023-02-07 12:52:27+00:00,we stand with our brother countries in this heartbreaking difficult time may allah grant patience to the families who lost their loved ones ameen 
Our sincere thoughts &amp; prayers are with the victims &amp; families hit by the earthquake. Please help &amp; donate 🙏🏼     ,2023-02-07 12:52:31+00:00,our sincere thoughts amp prayers are with the victims amp families hit by the earthquake please help amp donate 
"Turkish President Erdogan declares 3-month state of emergency in 10 provinces hit by massive earthquakes, reports Turkey's Anadolu news agency citing President Recep Tayyip Erdogan   ",2023-02-07 12:52:42+00:00,turkish president erdogan declares month state of emergency in provinces hit by massive earthquakes reports turkey anadolu news agency citing president recep tayyip erdogan 
Painful💔      ,2023-02-07 12:53:25+00:00,painful 
 Ohal   ,2023-02-07 12:53:49+00:00, ohal 
She lost her entire family 😭💔      ,2023-02-07 12:54:07+00:00,she lost her entire family 
A journalist reporting in the earthquake area was detained ,2023-02-07 12:54:12+00:00, journalist reporting in the earthquake area was detained 
Turkey-  Nearly 30 hours after the earthquake a baby was rescued alive from under the rubble.   ,2023-02-07 12:54:16+00:00,turkey nearly hours after the earthquake baby was rescued alive from under the rubble 
"The coffin of one of the earthquake victims is carried during a funeral in Diyarbakir, Turkey. Authorities fear the death toll will keep climbing as rescuers look for survivors across the region.  📸 EPA / Deniz Tekin     ",2023-02-07 12:54:18+00:00,the coffin of one of the earthquake victims is carried during funeral in diyarbakir turkey authorities fear the death toll will keep climbing as rescuers look for survivors across the region epa deniz tekin 
"Huge!It is stated that the sea level has risen in Hatay Iskenderun, State of Emergency in Qatar Malatya Adiyaman Merkez              ",2023-02-07 12:55:15+00:00,huge it is stated that the sea level has risen in hatay iskenderun state of emergency in qatar malatya adiyaman merkez 
White House press secretary scorched for lying to reporters on China spy flights !      ,2023-02-07 12:55:22+00:00,white house press secretary scorched for lying to reporters on china spy flights 
"This 10 y/o girl is protecting his little brother.My heart sinks when I see pictures like this.More than 5,000 people are now confirmed as dead in Turkey.Prayers for  🙏    ",2023-02-07 12:55:35+00:00,this girl is protecting his little brother my heart sinks when see pictures like this more than people are now confirmed as dead in turkey prayers for 
"During the wee hours of Feb 6, a powerful 7.8 magnitude  struck Turkey and Syria.Multiple strong tremors have rocked the country since, killing over 5,000 people. Here are 3 reasons why this is happening⤵️ 📸: USGS🧵👇 ",2023-02-07 12:55:39+00:00,during the wee hours of feb powerful magnitude struck turkey and syria multiple strong tremors have rocked the country since killing over people here are reasons why this is happening usgs 
A girl trapped under a rabble forgets about her self and bravely shields the little one from harm. No matter how bleak hope seems Take the chance.❤️       ,2023-02-07 12:55:57+00:00, girl trapped under rabble forgets about her self and bravely shields the little one from harm no matter how bleak hope seems take the chance 
999th reason to watch Lockwood and co on Netflix! 🫠💖         ,2023-02-07 12:56:30+00:00, th reason to watch lockwood and co on netflix 
 HATAY   ,2023-02-07 12:56:31+00:00, hatay 
"Hopes up, keep supporting,  keep praying,  keep the faith 🙏 🇹🇷🕯    ",2023-02-07 12:57:15+00:00,hopes up keep supporting keep praying keep the faith 
"All of his family died, and he was left alone.He was very tired and very hungry.               ",2023-02-07 12:57:20+00:00,all of his family died and he was left alone he was very tired and very hungry 
"How beautiful ❤️🙏❤️Ay Yapım has holidayed its sets and started to send materials such as caravans, generators, lights, etc. to the earthquake zone. Bravo Kerem Çatay, bravo Ay Yapım. All other production companies are also welcome. 👏⛑️🇹🇷  ",2023-02-07 12:57:22+00:00,how beautiful ay yapım has holidayed its sets and started to send materials such as caravans generators lights etc to the earthquake zone bravo kerem çatay bravo ay yapım all other production companies are also welcome 
"The Turkish flag flies at half-mast at the Embassy of Turkey in  to mourn the death of over 5,000 people in the devastating earthquake that hit the country on February 6.  |  (ANI)📡Catch the day's latest news ➠  ",2023-02-07 12:57:22+00:00,the turkish flag flies at half mast at the embassy of turkey in to mourn the death of over people in the devastating earthquake that hit the country on february ani catch the day latest news 
You can see the closest area where you can donate blood.,2023-02-07 12:57:33+00:00,you can see the closest area where you can donate blood 
For donations from the United States shared by    ,2023-02-07 12:57:57+00:00,for donations from the united states shared by 
"As DFDS, vehicles containing heavy machinery and humanitarian aid will be transported from Pendik port to İskenderun port. It is important that those who want support go to the port of Pendik. *No passengers will be transported.  ",2023-02-07 12:57:58+00:00,as dfds vehicles containing heavy machinery and humanitarian aid will be transported from pendik port to skenderun port it is important that those who want support go to the port of pendik no passengers will be transported 
"Citizens are waiting for help in Kahramanmaraş Elbistan: ""The sound of 'save us' comes from under the buildings, no one intervenes. Elbistan is left to its fate.""   ",2023-02-07 12:57:59+00:00,citizens are waiting for help in kahramanmaraş elbistan the sound of save us comes from under the buildings no one intervenes elbistan is left to its fate 
My uncle just lost his daughter and mother in Adiyaman because the TURKISH GOVERNMENT failed to send any help!! THEY ARE STILL WAITING FOR HELP! This is ridiculous! How can a country fail its people so badly!    ,2023-02-07 12:58:10+00:00,my uncle just lost his daughter and mother in adiyaman because the turkish government failed to send any help they are still waiting for help this is ridiculous how can country fail its people so badly 
"    CHP Ankara Deputy Yıldırım Kaya calls out from ""-THE ROAD IS BLOCKED!-OPEN THE WAYS, HELP COME!-NO BREAD!-NO TENTS!-NOT ENOUGH RESCUE TEAM!-NO INTERNET &amp; PHONES!""",2023-02-07 12:58:19+00:00, chp ankara deputy yıldırım kaya calls out from the road is blocked open the ways help come no bread no tents not enough rescue team no internet amp phones 
 Turkey and Syria gen 1  Madonna Poverty Human Rights Evil   Turkey Beyonce Queer Harry Styles    THEY COVERED ME IN WITCH CRAFTAND A LITTLE GIRL DEMON IN METHERE ON 24/7 SO I DON'T GO FREE NEXT DOOR,2023-02-07 12:58:32+00:00, turkey and syria gen madonna poverty human rights evil turkey beyonce queer harry styles they covered me in witch craftand little girl demon in methere on so don go free next door
Tens of thousands of citizens in the affected by  cities have become homeless.,2023-02-07 12:58:37+00:00,tens of thousands of citizens in the affected by cities have become homeless 
"This video broke my heart 💔The little girl says to the rescuer when he reaches her: Get me out from under this wreckage,sir,me and my sister &amp; I will become your slave.         ",2023-02-07 12:58:44+00:00,this video broke my heart the little girl says to the rescuer when he reaches her get me out from under this wreckage sir me and my sister amp will become your slave 
2. Video //  ,2023-02-07 12:58:50+00:00, video 
Politics has been killing their citizens with our without earthquake.🤦‍♀️ I hope the affected ones can get all the help that they need.    ,2023-02-07 12:58:57+00:00,politics has been killing their citizens with our without earthquake hope the affected ones can get all the help that they need 
"even small amount of donation can help us so much.1$ = 18 Turkish Liras1€ = 20 Turkish Liras1£ = 22 Turkish Liras paypal: dgulranaany help and donations will be appreciated, all proofs of donations will be shared after they're sent to AFAD  ",2023-02-07 12:59:34+00:00,even small amount of donation can help us so much turkish liras turkish liras turkish liras paypal dgulranaany help and donations will be appreciated all proofs of donations will be shared after they are sent to afad 
"Gm, I hope you guys are safe! In every day, there are 1,440 minutes. That means we have 1,440 daily opportunities to make a positive impact. (Les Brown)Pray for Turkey!      ",2023-02-07 13:00:07+00:00,gm hope you guys are safe in every day there are minutes that means we have daily opportunities to make positive impact les brown pray for turkey 
Our prayers and thoughts are with those who are suffering from the  &amp;  May Allah help all those who are in difficulty. Inna Lillahi wa Inna Ilayhi Raji’oon 😔 ,2023-02-07 13:00:12+00:00,our prayers and thoughts are with those who are suffering from the amp may allah help all those who are in difficulty inna lillahi wa inna ilayhi raji oon 
Heart breaking photo after Turkey earthquake. May God help them.🙏🏼  🇹🇷 ,2023-02-07 13:00:16+00:00,heart breaking photo after turkey earthquake may god help them 
This picture was taken today from Turkey 🇹🇷...💔   ,2023-02-07 13:00:18+00:00,this picture was taken today from turkey 
You haven't forgotten the beating you ate in Maraş.       ,2023-02-07 13:00:20+00:00,you haven forgotten the beating you ate in maraş 
"The Chinese government will provide  with its first batch of aid worth 40 million yuan ($5.9 million), Deng Boqing, vice-chairman of the China International Development Cooperation Agency said on Tuesday.  ",2023-02-07 13:00:22+00:00,the chinese government will provide with its first batch of aid worth million yuan million deng boqing vice chairman of the china international development cooperation agency said on tuesday 
Erik ten Hag has revealed that Manchester United will not be appealing Casemiro's three-match suspension for the red card he was shown during Saturday's 2-1 win over Crystal Palace.       ,2023-02-07 13:00:23+00:00,erik ten hag has revealed that manchester united will not be appealing casemiro three match suspension for the red card he was shown during saturday win over crystal palace 
